 3.03 OBSERVATION DATA M: Mixed RINEX VERSION / TYPE
RTKCONV 2.4.3 b33 20191125 135756 UTC PGM / RUN BY / DATE 
log: C:\Users\henri\Nextcloud\M2\Projet S1\data_blox\very COMMENT 
format: u-blox COMMENT 
 MARKERNAME 
 MARKERNUMBER
 MARKERTYPE 
 OBSERVER/ AGENCY 
 REC # / TYPE / VERS 
 ANT # / TYPE 
 4063320.4876 244285.1881 4893859.0427 APPROX POSITION XYZ 
 0.0000 0.0000 0.0000 ANTENNA: DELTA H/E/N
G4 C1C L1C D1C S1C SYS / # / OBS TYPES 
R4 C1C L1C D1C S1C SYS / # / OBS TYPES 
E 4 C1C L1C D1C S1C SYS / # / OBS TYPES 
J 4 C1C L1C D1C S1C SYS / # / OBS TYPES 
S 4 C1C L1C D1C S1C SYS / # / OBS TYPES 
C 4 C2I L2I D2I S2I SYS / # / OBS TYPES 
 2019 11 25 12 24 55.9920000 GPS TIME OF FIRST OBS 
 2019 11 25 13 3 20.9930000 GPS TIME OF LAST OBS 
GSYS / PHASE SHIFT 
RSYS / PHASE SHIFT 
E SYS / PHASE SHIFT 
J SYS / PHASE SHIFT 
S SYS / PHASE SHIFT 
C SYS / PHASE SHIFT 
 0 GLONASS SLOT / FRQ #
 C1C 0.000 C1P 0.000 C2C 0.000 C2P 0.000 GLONASS COD/PHS/BIS 
 END OF HEADER
G6 19691532.396 103479682.536 -3376.063 49.000 
R3 16999775.706 91001107.731 37.639 49.000 
G4 19032408.801 100015976.475 -2829.025 45.000 
G23 20573409.068 108113956.072 -3224.750 45.000 
R10 21144890.035 3 -4302.440 19.000 
R11 20991815.819 112173601.456 -4143.934 30.000 
R2 18519575.813 98823932.980 -3143.195 46.000 
G30 20382746.314 107112052.755 2798.847 47.000 
R13 18787124.108 100322126.885 2953.736 41.000 
R20 21144628.742 3 2541.092 25.000 
G16 21641406.796 113726329.672 -600.420 29.000 
R12 18188801.515 97161238.995 -1111.025 47.000 
G29 22368070.220 117545038.415 -338.037 41.000 
G26 22756371.209 119585551.317 -2287.948 35.000 
> 2019 11 25 12 25 5.9920000 0 20 
G9 18484980.411 97139240.724 -2373.975 48.000 
G2 19624784.999 103128949.657 -629.365 45.000 
G7 18905065.287 99346789.516 1060.029 48.000 
R18 19995500.789 106737245.892 -4402.389 47.000 
G5 20686218.767 108706860.266 2677.439 42.000 
R19 18824432.107 100697982.214 -1332.297 37.000 
G6 19692174.687 103483059.021 -3376.628 48.000 
R3 16999769.546 91001070.310 37.333 49.000 
G4 19032947.411 100018805.769 -2829.274 45.000 
G23 20574022.662 108117180.809 -3224.573 46.000 
R10 21145700.048 3 -4304.556 22.000 
R11 20992589.100 112177745.306 -4145.044 29.000 
R2 18520164.697 98827076.318 -3143.384 46.000 
G30 20382213.899 107109253.883 2798.866 47.000 
R13 18786571.311 100319173.685 2953.368 41.000 
R20 21144151.007 3 2540.660 25.000 
G16 21641514.822 113726929.971 -600.615 29.000 
R12 18189009.426 97162350.482 -1111.811 47.000 
G29 22368134.009 117545376.805 -338.879 41.000 
G26 22756806.731 119587839.895 -2288.597 35.000 
> 2019 11 25 12 25 6.9920000 0 20 
G9 18485432.537 97141615.077 -2374.133 48.000 
G2 19624904.917 103129579.595 -629.935 45.000 
